location_id,name,latitude,longitude,location_type_id
1,Aruba,12.52088038,-69.98267711,3
2,Afghanistan,33.83523073,66.00473366,3
3,Angola,-12.29336054,17.53736768,3
4,Anguilla,18.2239595,-63.06498927,3
5,Albania,41.14244989,20.04983396,3
6,Aland,60.21488688,19.95328768,3
7,Andorra,42.54229102,1.56054378,3
8,"United Arab Emirates",23.90528188,54.3001671,3
9,Argentina,-35.3813488,-65.17980692,3
10,Armenia,40.28952569,44.92993276,3
11,"American Samoa",-14.30445997,-170.7180258,3
12,Antarctica,-80.50857913,19.92108951,3
13,"Ashmore and Cartier Is.",-12.42993164,123.5838379,3
14,"Fr. S. Antarctic Lands",-49.24895485,69.22666758,3
15,"Antigua and Barb.",17.2774996,-61.79469343,3
16,Australia,-25.73288704,134.4910001,3
17,Austria,47.58549439,14.1264761,3
18,Azerbaijan,40.28827235,47.54599879,3
19,Burundi,-3.35939666,29.87512156,3
20,Belgium,50.63981576,4.64065114,3
21,Benin,9.6417597,2.32785254,3
22,"Burkina Faso",12.26953846,-1.75456601,3
23,Bangladesh,23.86731158,90.23812743,3
24,Bulgaria,42.76890318,25.21552909,3
25,Bahrain,26.04205135,50.54196932,3
26,Canada,61.36206324,-98.30777028,3
27,Bahamas,24.29036702,-76.62843038,3
28,"Bosnia and Herz.",44.17450125,17.76876733,3
29,"St-Barth̩lemy",17.89880451,-62.84067779,3
30,Belarus,53.53131377,28.03209307,3
31,Belize,17.20027509,-88.71010486,3
32,Bermuda,32.31367802,-64.7545589,3
33,Bolivia,-16.70814787,-64.68538645,3
34,Brazil,-10.78777702,-53.09783113,3
35,Barbados,13.18145428,-59.559797,3
36,Brunei,4.51968958,114.7220304,3
37,Bhutan,27.41106589,90.40188155,3
38,Botswana,-22.18403213,23.79853368,3
39,"Central African Rep.",6.56823297,20.46826831,3
40,Switzerland,46.79785878,8.20867471,3
41,Chile,-37.73070989,-71.38256213,3
42,China,36.56176546,103.8190735,3
43,"C̫te d'Ivoire",7.6284262,-5.5692157,3
44,Cameroon,5.69109849,12.73964156,3
45,"Dem. Rep. Congo",-2.87746289,23.64396107,3
46,Congo,-0.83787463,15.21965762,3
